"id","professional","helpful","positive","efficient","skilful","trustworthy","kind","confident","sincere","intelligent","fair","hardworking","sender_gender","appropriateness","gender","age","education","emoji_usage","culture","formality","emoji","study"
145,1,2,2,2,1,1,2,2,2,1,2,1,"male",1,"female",32,"bachelor",5,"danish",0,"no_emoji","study2"
141,2,5,5,4,4,2,5,5,5,3,3,3,"male",1,"female",35,"master",2,"danish",0,"no_emoji","study2"
139,5,5,5,5,3,3,4,3,3,3,3,3,"male",4,"female",25,"secondary school",3,"danish",0,"no_emoji","study2"
140,3,3,5,3,3,3,5,3,4,3,3,3,"male",3,"male",28,"bachelor",3,"danish",0,"no_emoji","study2"
158,2,5,4,3,2,4,4,3,3,2,3,2,"male",2,"male",23,"secondary school",5,"danish",0,"no_emoji","study2"
73,5,4,4,4,4,5,4,4,4,5,4,4,"male",5,"female",22,"secondary school",2,"danish",1,"no_emoji","study2"
74,4,4,5,2,4,4,4,5,4,4,3,3,"male",4,"female",27,"bachelor",2,"danish",1,"no_emoji","study2"
76,4,4,4,4,3,5,5,5,4,5,3,3,"male",5,"male",24,"secondary school",1,"danish",1,"no_emoji","study2"
78,3,3,4,3,3,3,4,5,4,3,3,3,"female",3,"male",24,"secondary school",2,"danish",1,"no_emoji","study2"
80,5,5,5,5,3,5,5,5,5,3,3,3,"male",4,"female",21,"secondary school",2,"danish",1,"no_emoji","study2"
82,4,4,4,4,4,4,4,4,4,4,4,4,"male",5,"female",22,"secondary school",5,"danish",1,"no_emoji","study2"
83,5,5,5,4,5,5,5,4,4,5,4,5,"male",5,"female",21,"secondary school",3,"danish",1,"no_emoji","study2"
84,5,4,4,3,4,4,4,4,3,5,3,5,"male",5,"female",22,"secondary school",2,"danish",1,"no_emoji","study2"
85,5,3,3,4,4,4,3,5,4,4,3,3,"male",4,"male",25,"secondary school",4,"danish",1,"no_emoji","study2"
87,4,4,5,3,5,4,5,3,2,3,2,4,"male",3,"male",21,"secondary school",4,"danish",1,"no_emoji","study2"
88,5,5,5,5,4,5,5,5,5,4,5,4,"male",4,"female",21,"secondary school",5,"danish",1,"no_emoji","study2"
90,4,5,4,4,3,4,4,3,3,3,5,3,"male",4,"male",22,"secondary school",4,"danish",1,"no_emoji","study2"
94,5,2,5,4,4,5,5,3,3,3,3,3,"male",4,"female",30,"secondary school",4,"danish",1,"no_emoji","study2"
