"id","professional","helpful","positive","efficient","skilful","trustworthy","kind","confident","sincere","intelligent","fair","hardworking","sender_gender","appropriateness","gender","age","education","emoji_usage","culture","formality","emoji","study","competence","warmness"
39,4,4,3,5,4,3,3,5,3,3,3,3,"female",4,"female",50,"master",1,"hungarian",1,"face_emoji","study1",0.407782397553216,-1.02544486343885
30,5,5,5,4,4,4,5,5,5,4,4,4,"female",5,"female",21,"secondary school",5,"hungarian",1,"face_emoji","study1",0.688477774269,1.18068801023182
54,4,5,4,5,4,4,4,3,3,4,3,3,"female",4,"female",20,"secondary school",4,"hungarian",1,"face_emoji","study1",0.376800542720504,-0.187367383784476
98,5,5,5,5,5,5,4,5,5,5,5,5,"male",5,"female",17,"primary school",5,"hungarian",1,"face_emoji","study1",1.58919810904093,0.939489509226779
100,5,5,4,5,5,5,3,4,5,5,5,5,"female",5,"female",14,"primary school",2,"hungarian",1,"face_emoji","study1",1.63895292346631,0.13576003055374
104,5,5,5,5,5,5,5,5,5,5,4,4,"male",5,"male",24,"bachelor",4,"hungarian",1,"face_emoji","study1",1.31257035642665,1.12637975693916
106,5,5,5,5,5,5,5,5,5,5,5,5,"female",5,"female",16,"primary school",2,"hungarian",1,"face_emoji","study1",1.50130077942512,1.32822532112733
124,3,5,5,4,3,3,4,4,3,4,3,3,"female",2,"female",24,"secondary school",4,"hungarian",1,"face_emoji","study1",-0.218208938969838,0.352910714396704
132,5,5,5,5,5,5,5,5,5,5,5,5,"female",5,"female",22,"bachelor",3,"hungarian",1,"face_emoji","study1",1.50130077942512,1.32822532112733
133,2,3,2,2,1,2,3,2,1,2,3,2,"female",2,"female",16,"primary school",2,"hungarian",1,"face_emoji","study1",-1.62441533617977,-1.91162354562304
72,3,4,4,3,2,4,4,5,4,3,2,3,"female",4,"female",18,"secondary school",5,"hungarian",1,"face_emoji","study1",-0.481838775265583,0.00496862400638599
147,5,4,4,5,5,4,4,4,4,5,4,4,"female",5,"female",17,"other",2,"hungarian",1,"face_emoji","study1",1.18205985137271,-0.140421254079792
138,5,3,3,4,2,2,2,3,2,3,3,3,"female",4,"female",24,"master",4,"hungarian",1,"face_emoji","study1",-0.186800468701783,-2.06377294136398
150,5,5,4,5,4,4,5,4,4,5,4,4,"female",5,"female",48,"secondary school",3,"hungarian",1,"face_emoji","study1",0.961857837310325,0.488027942272504
156,4,4,3,4,4,3,3,4,4,4,3,3,"male",4,"female",22,"secondary school",5,"hungarian",1,"face_emoji","study1",0.341749136361998,-0.913045141573239
6,3,4,4,4,3,3,4,4,3,3,3,2,"male",3,"female",24,"primary school",3,"danish",0,"non_face_emoji","study2",-0.464681265572631,-0.236413799066729
16,3,5,5,3,3,4,5,4,4,3,4,4,"male",4,"female",26,"secondary school",4,"danish",0,"non_face_emoji","study2",-0.290102022686233,1.24511625004493
21,4,3,4,4,4,4,4,4,4,3,3,3,"male",5,"male",24,"bachelor",4,"danish",0,"non_face_emoji","study2",0.114321772901962,-0.296015221523925
22,4,4,5,3,3,3,4,4,5,3,3,3,"male",5,"male",24,"secondary school",4,"danish",0,"non_face_emoji","study2",-0.361976266161814,0.504733748555371
44,3,4,4,3,3,3,4,3,5,3,3,3,"male",3,"female",22,"secondary school",4,"danish",0,"non_face_emoji","study2",-0.58648440355909,0.218316215261034
46,2,4,5,4,4,5,5,5,4,4,4,3,"male",4,"female",22,"secondary school",4,"danish",0,"non_face_emoji","study2",0.116601333335936,1.08745332817736
122,4,4,5,4,3,4,4,4,4,3,4,3,"male",4,"male",22,"secondary school",4,"danish",0,"non_face_emoji","study2",-0.0103401283812549,0.446663558403136
67,1,1,1,1,1,1,1,1,1,1,1,1,"female",1,"other",34,"PhD",1,"danish",0,"non_face_emoji","study2",-2.46231014571155,-3.71899239912709
75,2,4,5,3,3,3,5,5,5,4,4,3,"male",3,"female",27,"bachelor",2,"danish",0,"non_face_emoji","study2",-0.457552168880961,1.2811271379468
79,2,3,3,2,3,2,4,2,4,3,4,2,"male",3,"female",36,"bachelor",4,"danish",0,"non_face_emoji","study2",-1.16838719597243,-0.457798244354774
86,2,4,4,3,3,3,4,4,4,3,3,2,"male",3,"male",21,"secondary school",4,"danish",0,"non_face_emoji","study2",-0.785263258527528,0.112228780236117
89,2,2,3,2,2,2,3,3,3,3,2,2,"male",1,"female",24,"bachelor",2,"danish",0,"non_face_emoji","study2",-1.33242674777928,-1.49013517554097
93,4,4,4,4,4,4,4,3,4,3,4,4,"male",4,"male",26,"master",2,"danish",0,"non_face_emoji","study2",0.223968742730385,0.0739540778289088
115,4,3,5,4,4,5,5,5,5,3,3,3,"male",5,"male",21,"secondary school",2,"danish",0,"non_face_emoji","study2",0.214792633199082,0.752595285733416
116,3,2,4,4,3,3,4,3,4,3,5,3,"male",4,"female",23,"secondary school",2,"danish",0,"non_face_emoji","study2",-0.355100590525116,-0.162054243487345
146,2,2,4,3,1,2,1,4,3,1,3,1,"male",1,"female",24,"bachelor",3,"danish",0,"non_face_emoji","study2",-1.52128436438909,-1.6408020863569
149,2,3,3,1,2,2,4,3,3,2,3,1,"male",2,"female",23,"secondary school",2,"danish",0,"non_face_emoji","study2",-1.74471997565874,-0.752234298492254
151,2,5,5,3,3,4,4,3,5,3,3,4,"male",3,"female",20,"secondary school",3,"danish",0,"non_face_emoji","study2",-0.564887505514113,1.01777457593745
6,2,4,4,3,3,3,4,4,2,2,3,2,"male",3,"female",24,"primary school",3,"danish",1,"non_face_emoji","study2",-0.985428013190778,-0.272017804824968
16,5,4,5,4,5,5,4,5,5,5,4,5,"male",5,"female",26,"secondary school",4,"danish",1,"non_face_emoji","study2",1.33488945404651,0.582403683778492
21,3,4,4,4,3,2,4,4,2,3,3,3,"male",4,"male",24,"bachelor",4,"danish",1,"non_face_emoji","study2",-0.504799883196437,-0.417487760762622
22,5,4,3,3,3,5,3,2,2,2,2,2,"male",5,"male",24,"secondary school",4,"danish",1,"non_face_emoji","study2",-0.286729993706086,-1.60166543308379
44,4,4,4,5,4,4,4,4,4,3,4,4,"female",5,"female",22,"secondary school",4,"danish",1,"non_face_emoji","study2",0.47873748499508,0.12487767081277
46,5,4,4,4,4,5,4,4,4,4,4,4,"male",4,"female",22,"secondary school",4,"danish",1,"non_face_emoji","study2",0.835560071480507,-0.0381974840417426
122,4,4,4,4,4,4,4,4,4,4,4,4,"male",4,"male",22,"secondary school",4,"danish",1,"non_face_emoji","study2",0.510398048140949,0.0664208910637204
67,1,1,1,1,1,1,1,1,1,1,1,1,"female",1,"other",34,"PhD",1,"danish",1,"non_face_emoji","study2",-2.46231014571155,-3.71899239912709
75,4,5,5,5,5,4,5,5,4,4,4,4,"male",4,"female",27,"bachelor",2,"danish",1,"non_face_emoji","study2",0.798672852013616,1.06767481719514
79,4,4,4,4,3,4,4,3,3,3,3,4,"male",3,"female",36,"bachelor",4,"danish",1,"non_face_emoji","study2",-0.0284282259625531,-0.263484808992319
86,4,4,4,4,3,4,4,4,4,4,3,3,"male",4,"male",21,"secondary school",4,"danish",1,"non_face_emoji","study2",0.159323295939095,-0.113901792434307
89,3,3,3,3,3,3,3,3,3,3,3,3,"male",3,"female",24,"bachelor",2,"danish",1,"non_face_emoji","study2",-0.480504683143218,-1.19538353899988
93,5,4,4,4,5,5,4,4,4,5,4,4,"male",4,"male",26,"master",2,"danish",1,"non_face_emoji","study2",1.1752106081676,-0.117320320094017
115,2,3,4,2,3,3,4,3,2,2,2,2,"male",4,"male",21,"secondary school",2,"danish",1,"non_face_emoji","study2",-1.34885976611207,-0.679170398870197
116,4,3,4,4,4,4,4,3,4,3,4,3,"male",4,"female",23,"secondary school",2,"danish",1,"non_face_emoji","study2",0.0838220408748759,-0.208043492821106
146,3,3,3,4,3,4,4,4,4,3,3,4,"female",4,"female",24,"bachelor",3,"danish",1,"non_face_emoji","study2",-0.0533005386731527,-0.447036038642767
149,3,3,5,2,3,3,5,2,3,2,3,3,"male",3,"female",23,"secondary school",2,"danish",1,"non_face_emoji","study2",-1.23033545759609,0.318618243530578
151,4,4,4,4,4,4,4,4,4,4,4,4,"female",4,"female",20,"secondary school",3,"danish",1,"non_face_emoji","study2",0.510398048140949,0.0664208910637204
2,3,5,4,4,3,3,5,4,4,3,4,4,"female",2,"female",43,"bachelor",3,"hungarian",0,"non_face_emoji","study2",-0.212272196744701,0.85708841788361
12,3,5,4,4,2,2,3,4,3,3,2,3,"female",4,"female",22,"secondary school",4,"hungarian",0,"non_face_emoji","study2",-0.616401330337193,-0.483625415299573
23,3,3,1,3,2,3,4,2,3,2,2,2,"female",2,"female",20,"secondary school",4,"hungarian",0,"non_face_emoji","study2",-1.06394490489861,-1.70929102018328
27,2,4,4,3,3,3,2,4,3,1,2,2,"female",2,"male",46,"bachelor",4,"hungarian",0,"non_face_emoji","study2",-1.05413365375285,-0.909004700352083
32,2,3,4,3,3,3,4,3,4,4,4,4,"female",2,"male",22,"secondary school",4,"hungarian",0,"non_face_emoji","study2",-0.448282313630348,0.0520241835920144
33,2,5,5,4,3,3,5,3,4,2,4,3,"female",3,"female",21,"secondary school",5,"hungarian",0,"non_face_emoji","study2",-0.866154764197211,1.2943175694141
37,3,4,3,3,2,3,4,1,3,2,3,3,"female",2,"male",53,"master",2,"hungarian",0,"non_face_emoji","study2",-1.09625910054303,-0.609467924479344
40,3,4,3,3,2,4,4,4,5,3,4,3,"male",3,"female",21,"bachelor",5,"hungarian",0,"non_face_emoji","study2",-0.351305285066701,0.0869752220450255
47,1,4,4,3,2,1,4,2,5,2,3,3,"female",2,"female",28,"bachelor",3,"hungarian",0,"non_face_emoji","study2",-1.68558208485216,0.456609032927291
51,3,5,5,4,3,5,5,2,4,3,4,4,"female",3,"female",20,"secondary school",4,"hungarian",0,"non_face_emoji","study2",-0.223906173069396,1.16979729561066
95,1,4,4,3,2,3,4,4,5,4,3,3,"male",2,"female",21,"secondary school",4,"hungarian",0,"non_face_emoji","study2",-0.835130671765585,0.489458176142301
